Date,year,GCM,RCP,Fact1,SoilStamp,AGENT_NO,Lat,Lon,co2,FarmingYear,SimulationYearIndex,CultivarSown,SowingDoY,HarvestDoY,GrowthPeriod,CropBiomassWt,CropBiomassN,CropYield,countDays_y,countDays_c,TTsum_y,TTsum_c,maxT_y,maxT_c,minT_y,minT_c,rad_y,rad_c,rain_y,rain_c,et_y,et_c,DI_y,DI_c
14/09/1972,1972,era,era,conventionaltill,heavytexturetilled,14493,-45.72,169.23,327,1972,1,short,346,123,143,8719.169,172.575,1035.124,366,142,979.569,975.538,13.472,17.845,3.421,6.337,4440.044,2111.08,991.63,399.43,778.939,393.035,21.449,1.601
14/09/1973,1973,era,era,conventionaltill,heavytexturetilled,14493,-45.72,169.23,329,1973,2,mid,316,104,155,8839.034,180.757,174.944,365,154,1034.642,1030.011,13.566,17.647,3.362,5.859,4329.101,2545.31,864.45,399.2,756.624,466.824,12.473,-16.94
14/09/1974,1974,era,era,conventionaltill,heavytexturetilled,14493,-45.72,169.23,330,1974,3,short,340,80,106,6716.352,149.281,0,365,105,764.171,760.74,13.575,18.721,3.093,6.503,4420.049,1898.1,778.61,228.9,773.913,356.38,0.603,-55.692
14/09/1975,1975,era,era,conventionaltill,heavytexturetilled,14493,-45.72,169.23,331,1975,4,mid,313,145,198,10538.016,200.24,1378.484,365,197,1320.553,1318.453,13.948,17.263,3.657,6.202,4338.737,2787.009,929.65,552.42,770.953,522.336,17.071,5.446
14/09/1976,1976,era,era,conventionaltill,heavytexturetilled,14493,-45.72,169.23,332,1976,5,short,342,84,108,7542.94,162.058,0,366,107,782.31,776.81,13.409,18.905,3.025,6.436,4562.411,2067.5,795.64,216.74,797.26,389.258,-0.204,-79.597
14/09/1977,1977,era,era,conventionaltill,heavytexturetilled,14493,-45.72,169.23,333,1977,6,short,329,130,168,8833.133,172.536,2034.124,365,167,1070.528,1066.964,12.923,16.677,2.984,5.928,4393.858,2430.32,812.71,478.76,756.995,445.659,6.856,6.914
14/09/1978,1978,era,era,conventionaltill,heavytexturetilled,14493,-45.72,169.23,335,1978,7,short,339,128,155,9074.619,170.162,1870.764,365,154,1066.185,1062.713,13.795,17.921,3.287,6.142,4277.951,2254.38,891.38,433.62,754.242,423.583,15.385,2.315
14/09/1979,1979,era,era,conventionaltill,heavytexturetilled,14493,-45.72,169.23,337,1979,8,short,329,104,141,10487.481,191.658,1471.312,365,140,985.286,981.944,13.357,18.007,2.982,6.638,4464.47,2345.23,822.16,375.77,777.713,437.521,5.406,-16.433
14/09/1980,1980,era,era,conventionaltill,heavytexturetilled,14493,-45.72,169.23,338,1980,9,short,333,143,176,9425.555,193.265,1340.857,366,175,1086.677,1083.282,13.469,16.563,3.039,5.296,4721.779,2741.729,1091.6,514.07,824.206,501.65,24.496,2.416
14/09/1981,1981,era,era,conventionaltill,heavytexturetilled,14493,-45.72,169.23,340,1981,10,mid,303,136,200,13016.748,239.719,3439.376,365,199,1312.571,1307.996,13.962,17.537,3.245,5.459,4714.718,3235.4,667.65,421.87,829.928,597.566,-24.306,-41.647
